sequence,cell_id,task_id,pair_id,pair_variant,source_pool_view_id,tool_pool_size,pool_repeat,method,selected_tool_id,transport_accepted,exactly_one_tool_call,arguments_json_valid,arguments_exact,primary_endpoint_hit,family_hit,alternative_hit,scientific_hit,primary_end_to_end,scientific_end_to_end,finish_reason,tool_call_count,provider_error,error_type,reasoning_content_observed,api_latency_ms,model_run_repeat,repeat_unit_id
149,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1265.6352,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
150,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1011.2343,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
151,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,,True,False,False,False,False,False,False,False,False,False,tool_calls,2,,multiple_tool_calls,False,2066.1725,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
152,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,877.8213,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
153,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,,True,False,False,False,False,False,False,False,False,False,tool_calls,2,,multiple_tool_calls,False,1212.531,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
154,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,,True,False,False,False,False,False,False,False,False,False,tool_calls,2,,multiple_tool_calls,False,1365.0843,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
155,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1124.4739,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
156,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,,False,False,False,False,False,False,False,False,False,False,,0,DeepSeek HTTP 522: ,provider_error_terminal,False,5204.7502,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
157,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,851.1946,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
158,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,718.2694,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
159,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,956.4465,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
160,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1066.7392,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
161,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1012.8062,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
162,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,690.3446,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
163,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,929.4189,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
164,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,840.9511,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
165,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,915.6833,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
166,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1062.4198,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
167,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,905.13,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
168,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1016.9565,R1,A002-A003-TOP5-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
169,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1974.3752,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
170,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1650.1982,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
171,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,975.1564,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
172,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,997.1648,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
173,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,827.6803,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
174,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1014.9029,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
175,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,781.1101,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
176,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1255.2865,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
177,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1097.2513,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
178,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,826.6021,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
179,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1127.6332,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
180,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,956.267,R1,A002-A003-TOP5-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
181,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1256.6979,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
182,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1242.8895,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
183,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1019.85,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
184,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,884.5645,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
185,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,883.6751,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
186,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,792.1685,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
187,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,916.3657,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
188,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,806.4708,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
189,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1139.6566,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
190,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,763.7939,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
191,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,819.7059,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
192,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,808.3314,R1,A002-A003-TOP5-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
1,A002-A003-TOP5-R2-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,922.0494,R2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
2,A002-A003-TOP5-R2-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1049.6872,R2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
3,A002-A003-TOP5-R2-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,786.0856,R2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
4,A002-A003-TOP5-R2-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1098.0948,R2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
5,A002-A003-TOP5-R2-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1027.5214,R2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
6,A002-A003-TOP5-R2-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1114.4824,R2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
7,A002-A003-TOP5-R2-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,900.4023,R2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
